osm_id,population,source,place,is_in,name,name_ps,longitude,latitude,geom_type
307823,70739,https://www.dominica.gov.dm/cms/files/2011_census_report.pdf,N/A,N/A,Dominica,N/A,-61.359954,15.3973214,relation
307828,10464474,N/A,N/A,N/A,República Dominicana,ډومنيکان جمهوريت,-70.0898891,19.281524,relation
307829,N/A,N/A,N/A,N/A,Ayiti,هایتي,-73.4301039,19.0560221,relation
307833,N/A,N/A,N/A,N/A,Cuba,N/A,-79.5434853,21.5546133,relation
307866,N/A,N/A,N/A,N/A,Papua Niugini,N/A,150.2675757,-6.2064657,relation
364066,N/A,N/A,N/A,N/A,Հայաստան,ارمنستان,45.0402241,40.0710619,relation
364110,N/A,N/A,N/A,N/A,Azərbaycan,آزربایجان,47.9699628,40.178816,relation
365307,N/A,N/A,N/A,N/A,Malta,N/A,14.3794153,35.9339573,relation
365331,58983000,N/A,N/A,N/A,Italia,اېټاليا,12.7058702,41.1905551,relation
367988,N/A,N/A,N/A,N/A,Jersey,N/A,-2.1976242,49.1654061,relation
378734,N/A,N/A,N/A,N/A,البحرين,بحرین,50.596582,26.1111222,relation
382313,N/A,N/A,country,N/A,日本,جاپان,138.4598582,32.9628929,relation
443174,113757002,N/A,N/A,N/A,Pilipinas,فلېپين,120.4533876,12.8526307,relation
447325,N/A,N/A,N/A,N/A,Madagasikara / Madagascar,مادغاسکر,46.8203692,-18.758455,relation
449220,N/A,N/A,N/A,N/A,臺灣,تایوان,118.3070437,18.3819939,relation
535774,N/A,N/A,N/A,N/A,Cabo Verde,N/A,-24.0139413,16.00687,relation
535790,N/A,N/A,N/A,N/A,Comores Komori جزر القمر,قمرټاپوګان,43.8996386,-12.0739385,relation
535828,N/A,N/A,N/A,N/A,Mauritius / Maurice,ماوریتوس,60.0487113,-15.4319244,relation
535880,N/A,N/A,N/A,N/A,São Tomé e Príncipe,سایوتومه او پرنسیپ,6.9655601,0.8561232,relation
536765,N/A,N/A,N/A,N/A,Sesel,سیشل,51.2484077,-6.9884629,relation
536773,328536,N/A,N/A,N/A,ދިވެހިރާއްޖެ,N/A,73.1627575,3.2015655,relation
536780,N/A,N/A,N/A,N/A,Singapore,سينګاپور,104.0691681,1.3214293,relation
536807,N/A,N/A,N/A,N/A,Sri Lanka,سریلانکا,80.7515016,7.877,relation
536899,N/A,N/A,N/A,N/A,Saint Kitts and Nevis,N/A,-62.711648,17.2548389,relation
536900,69842,N/A,N/A,N/A,Antigua and Barbuda,N/A,-62.0012368,17.3514641,relation
537257,N/A,N/A,N/A,N/A,Montserrat,N/A,-62.1931091,16.6811277,relation
547469,N/A,N/A,archipelago,N/A,The Bahamas,N/A,-76.5739731,24.0897198,relation
547479,N/A,N/A,N/A,N/A,Turks and Caicos Islands,N/A,-71.7721318,21.5592203,relation
547511,N/A,N/A,N/A,N/A,Barbados,بارباډوس,-59.5354645,13.19,relation
550725,N/A,N/A,N/A,N/A,Saint Vincent and the Grenadines,N/A,-61.2866632,12.9913296,relation
550727,N/A,N/A,N/A,N/A,Grenada,N/A,-61.6083852,12.1928149,relation
550728,N/A,N/A,N/A,N/A,Saint Lucia,N/A,-60.9748035,13.8892876,relation
555017,N/A,N/A,N/A,N/A,Jamaica,N/A,-77.1661754,17.6577919,relation
555717,N/A,N/A,N/A,N/A,Trinidad and Tobago,N/A,-61.1863204,10.7180239,relation
